Description,Views,Likes,Comments,Shares,Bookmarks,Post URL,Post Date
i’m in all matters unwell #chipotle #help ,1075,67,9,1,2,https://www.tiktok.com/@call.me.kekes/video/7583470670550404382,12/13/2025 14:19
we do our own thing and meet at the end 🤝👯 #gym #stretching #fyp ,5152,289,1,14,19,https://www.tiktok.com/@call.me.kekes/video/7577433907910561055,11/27/2025 7:53
"yes i did stab myself w my mascara, go bucks 🌰 #pokerface #grwm #fb #gameday ",1005,61,2,0,0,https://www.tiktok.com/@call.me.kekes/video/7575988315661405471,11/23/2025 10:23
Maybelline at OSU! It was so much fun to work at this event and be involved in the magic of makeup 🤩💄 #MaybellineOnTour #MaybellinePartner @Maybelline NY #school #popup #makeup #fyp  ,690,46,1,0,0,https://www.tiktok.com/@call.me.kekes/video/7551581673767390495,9/18/2025 16:53
i guess it’s kind of a good and bad thing 😂 #student #athlete #college #vlog #fyp ,1156,80,0,0,1,https://www.tiktok.com/@call.me.kekes/video/7548131644721401119,9/9/2025 9:45
back w the buckeyes 🤩💪🏼 #osu #studentathlete #college #spendthedaywithme #vlog #trending #fyp ,724,71,0,0,1,https://www.tiktok.com/@call.me.kekes/video/7545232336745450783,9/1/2025 14:15
just do it. volunteer for nike 🏃🏻‍♀️ #nike #run #ohiostate #fyp #volunteer @Nike ,568,37,0,2,1,https://www.tiktok.com/@call.me.kekes/video/7544418112150588703,8/30/2025 9:35
wrong answers only 😌#college #classes #trending #school #foryou ,915,66,3,0,0,https://www.tiktok.com/@call.me.kekes/video/7544109877832977695,8/29/2025 13:39
what can i say we’re light packers #fyp #funny #cat #packwithme ,1044,63,3,1,0,https://www.tiktok.com/@call.me.kekes/video/7540823348406799646,8/20/2025 17:05
like why 😭😭 #athlete #workout #shegotaway #fyp #real ,2847,149,3,2,3,https://www.tiktok.com/@call.me.kekes/video/7538537708558257438,8/14/2025 13:16
anyone who knows us knows this was his idea 😂 @Landon #hamilton #alexanderhamilton #skit #funny #facemask #trending #fyp ,1360,109,4,3,1,https://www.tiktok.com/@call.me.kekes/video/7537539522024705311,8/11/2025 20:42
@target always has the goods 👏🏼 #target #candy #10 #ohiostate #football #trending #fyp ,1375,86,2,0,0,https://www.tiktok.com/@call.me.kekes/video/7537144797933341982,8/10/2025 19:11
"recipe below (i measure w my heart) i had a lot of stuff already made like the salsa, guac, and meat so lmk if anyone wants to know how I made those!                                - leftover taco meat  - 4 eggs  - spices: pinch of salt pepper paprika  - tortilla chips  - mexican blend cheese  - 1 roma tomato - fresh cilantro  - salsa  - guacamole  - half a lime Cook meat until warmed up, add mixed egg with spices to pan and let cook for 3 min. Add tortilla chips, cheese, cilantro, and tomato and cover for 4 min. Mix and cover and let cook on low heat for 3 min. Plate and top with whatever you want/however much you want :).  #foodtok #migas #leftovers #food #tacos #asmr #funny #breakfast #fyp #foryou #recipe ",610,25,1,1,0,https://www.tiktok.com/@call.me.kekes/video/7536629152489770271,8/9/2025 9:50
like why 😭 #cat #baby #iconic #trend #funny #pet #fyp ,977,59,2,1,1,https://www.tiktok.com/@call.me.kekes/video/7536300373485571358,8/8/2025 12:34
it’s a common conversation lol #fyp #artisticswimming #trending #storytime #sound ,12500,1985,10,77,93,https://www.tiktok.com/@call.me.kekes/video/7535654987704110367,8/6/2025 18:50
it’s always a whole thing… #food #foodtok #trending #skit #fyp ,428,19,1,0,1,https://www.tiktok.com/@call.me.kekes/video/7535270068855311647,8/5/2025 17:56
no better feeling 🥰😌 #booktok #fantasy #romance #romantasy #heartbreak #books #fyp #trending ,893,54,1,1,2,https://www.tiktok.com/@call.me.kekes/video/7535146555062357279,8/5/2025 9:57
he’s the clean one 😂😂🫶 #couple #ladies #clean #fyp #trending #sound ,1285,89,1,4,1,https://www.tiktok.com/@call.me.kekes/video/7534881008051686687,8/4/2025 16:46
it’s so hard but it’s also a great time to figure out things you never knew abt yourself!! #talk #real #vlog #advice #athlete #break #trending #storytime ,1513,188,3,2,5,https://www.tiktok.com/@call.me.kekes/video/7534880587484548382,8/4/2025 16:44
first runway show done!! loved every second and what an honor to perform as well in the water :) #golden #runway #walk #model #pool #water #fyp #pnw ,1041,82,0,2,1,https://www.tiktok.com/@call.me.kekes/video/7531926643678432542,7/27/2025 17:42
spend day one w me of TMBC!  #camp #model #spenddaywithme #seattle #fyp ,1083,60,3,3,1,https://www.tiktok.com/@call.me.kekes/video/7530357685028539679,7/23/2025 12:13
so during season/school is like once a month 😂😭 #athlete #girl #clothes #trending #fyp #fashion ,5886,214,4,2,3,https://www.tiktok.com/@call.me.kekes/video/7529673206983134494,7/21/2025 15:57
we work well together in both ways 🤩😌 #coach #athlete #trending #fyp ,2225,197,1,1,4,https://www.tiktok.com/@call.me.kekes/video/7527763032340974878,7/16/2025 12:25
someone send me the recipe fr #muffin #igrievedifferent #olympics #paris #usa #trending #athlete #dance ,1751,202,2,9,1,https://www.tiktok.com/@call.me.kekes/video/7525544573188295967,7/10/2025 12:56
or else it’s zoomies and little paws attacking my toes all night 😭😃 #cat #pet #play #dance #trending #fyp ,1275,102,2,3,1,https://www.tiktok.com/@call.me.kekes/video/7525256787872779550,7/9/2025 18:19
some buttons were lost but at least the outfit ate 💅;) #wedding #model #walk #bridesmaid #fyp #trending @Azazie ,2827,128,8,0,2,https://www.tiktok.com/@call.me.kekes/video/7524506049534037278,7/7/2025 17:46
stay present and positive :) #athlete #advice #fyp #trending #compete #artisticswimming #swimming ,1528,136,0,0,8,https://www.tiktok.com/@call.me.kekes/video/7523689856074042655,7/5/2025 12:59
happy 4th of july everyone!! it was so wonderful being a part of the Issaquah parade and getting to ride in this beautiful bronco! Thank you @Ford Motor Company :) #parade #4thofjuly #usa #olympian #fyp #issaquah #wa #pnw ,1715,85,3,9,2,https://www.tiktok.com/@call.me.kekes/video/7523336905111489822,7/4/2025 14:09
it’s a constant battle for me 😭😂 #athlete #break #training #sports #fyp #trending ,4174,379,2,15,10,https://www.tiktok.com/@call.me.kekes/video/7519950498095435038,6/25/2025 11:08
i had the best time going back to my old elementary school talking to students 🥹 i always love giving back to my hometown and hopefully inspiring kids to achieve their dreams 🤩 #olympian #olympicday #giveback #foryou #student #sport #almostforgotthisisthepoint ,1887,190,2,3,1,https://www.tiktok.com/@call.me.kekes/video/7519348409476664606,6/23/2025 20:12
"every sport is unique! we actually cross train with ballet, gymnastics, and crossfit along with everything else we do in the pool :) #sport #trending #fyp #trendingsound #artisticswimming ",12900,1083,2,19,26,https://www.tiktok.com/@call.me.kekes/video/7518867511975234847,6/22/2025 13:06
i really am paying attention but sometimes i can’t help the little dance 🤩😂 #athlete #workout #fyp #trending ,1189,60,0,0,2,https://www.tiktok.com/@call.me.kekes/video/7518187465933344031,6/20/2025 17:07
