Description,Views,Likes,Comments,Shares,Bookmarks,Post URL,Post Date
keeping it really simple today with the NEW @Batiste Powder Dry Shampoo #BatisteAmbassador now available at @Ulta Beauty ,479100,2230,57,54,123,https://www.tiktok.com/@chloekim/video/7600875113575124255,1/29/2026 11:57
"There’s nothing hojicha + a facial can’t fix, packing my CALPAK Fit Gym Duffel for a day of reset and rest @calpak #calpakpartner #ad",242000,4055,81,61,202,https://www.tiktok.com/@chloekim/video/7600156205662637342,1/27/2026 13:27
"training mode: on 🏂✈️ grateful to partner with @calpak as I gear up for a busy season of travel. Born in LA and family-run since 1989, they just get what it means to be on the move — the Ambeur luggage + Terra  backpack are coming with me every step of the way. 💙 #calpakpartner #ad ",615100,2373,28,50,113,https://www.tiktok.com/@chloekim/video/7593306750699326733,1/9/2026 2:28
"Things are about to get a little crazy, so I need to make sure I see my friends before the madness 😮‍💨 Thanks @batiste #batisteambassador",382300,9954,51,79,285,https://www.tiktok.com/@chloekim/video/7590153790687431991,12/31/2025 14:33
I’m gonna start posting on here more I think maybe,712300,14800,103,216,450,https://www.tiktok.com/@chloekim/video/7584594762259336461,12/16/2025 15:01
what’s the vibe ,1700000,5355,143,59,426,https://www.tiktok.com/@chloekim/photo/7484719024857730347,3/22/2025 0:00
hi! low energy today cuz I was outside for way too long 🤗,1000000,30100,332,1890,2299,https://www.tiktok.com/@chloekim/video/7475211622961777963,2/24/2025 20:38
watching edits of myself at brunch >,2500000,246100,588,7986,14000,https://www.tiktok.com/@chloekim/video/7470796222119529774,2/12/2025 23:04
,732500,3741,53,85,182,https://www.tiktok.com/@chloekim/photo/7430176615528729899,10/26/2024 0:00
,675600,12000,89,375,1020,https://www.tiktok.com/@chloekim/video/7419587984057453870,9/28/2024 0:10
Humbled and proud to be back at the Olympic Games. I know my parents will be #therewithme in spirit to cheer me on! #spon,810300,31000,433,114,1146,https://www.tiktok.com/@chloekim/video/7060857675751640367,2/4/2022 6:13
I missed this feeling so much 🥰 #snowboarding,1900000,336200,2517,1892,8586,https://www.tiktok.com/@chloekim/video/6884936865212861702,10/18/2020 5:31
I am the queen of falling on my face  🥰,705300,53500,208,192,926,https://www.tiktok.com/@chloekim/video/6839503170536738053,6/17/2020 19:05
shred the gnar bruh,790400,36800,352,605,970,https://www.tiktok.com/@chloekim/video/6779062481953262853,1/6/2020 21:04
