Description,Views,Likes,Comments,Shares,Bookmarks,Post URL,Post Date
"Getting closer to meeting our little one, we are super excited!  Travis appeasing me with the #watermelonchallenge #38weekspregnant to see what #pregnancyjourney is like. #pregnantlife #parents #babyontheway ",47700,299,3,110,18,https://www.tiktok.com/@kailsarmbruster/video/7375231506022714666,5/31/2024 11:24
Eating my body weight in mini eggs this easter weekend #pregnant #happyeaster ,3723,63,1,1,1,https://www.tiktok.com/@kailsarmbruster/video/7352979288884383007,4/1/2024 12:15
"Passed my 1hr glucose test and dont have to worry about pregnancy diabetes.…. The drink wasn’t bad, although i totally had a sugar crash later that day and needed a nap. #glucosetest #pregnant #healthy #27weekspregnant #workouts ",3218,40,1,0,2,https://www.tiktok.com/@kailsarmbruster/video/7346346288159493406,3/14/2024 15:15
"Female bodies are amazing. So grateful to be pregnant. Embracing all the changes , even if its physically different than what i expected. #pregnant #ivfjourney #motherhood #blessed #momlife ",3417,122,0,7,2,https://www.tiktok.com/@kailsarmbruster/video/7345142869184744734,3/11/2024 9:25
"The true test of a good night's sleep is how you perform the next day. That's what makes Qualia Night different - it's a whole-system solution that supports deep sleep, cognition, immunity, and long-term sleep performance.  ✅Supports natural melatonin production ✅Promotes GABA to counter hyperarousal ✅Enhances BDNF to encourage the growth of new neurons ✅Supports your mitochondria so your body can heal at night",2514,15,0,0,2,https://www.tiktok.com/@kailsarmbruster/video/7338854155060038942,2/23/2024 9:42
"I decided to set up my registry with @Babylist because of the convenience. A one stop shop where you can add anything from anywhere. (Nordstrom, target, Etsy, Amazon, etc.) It’s super easy to use, and as a first time mom I was a bit overwhelmed. With easy to track categories I can add what I want & need, while also seeing what I might have forgotten.  For everyone asking, my registry link is: https://www.babylist.com/list/kaillie-armbruster",1650,40,0,0,3,https://www.tiktok.com/@kailsarmbruster/video/7336243558497733918,2/16/2024 8:51
Moving my pregnant body feels empowering. An incredible experience I’m grateful to have. #ivfjourney #ivfsuccess #pregnantlife #workoutroutine #blessed #momlife #dreams #goals #athletes ,1719,68,2,0,2,https://www.tiktok.com/@kailsarmbruster/video/7335269193618591006,2/13/2024 17:50
"Feels great to get back in the gym & working out. I was really nervous at first, scared of doing too much or the wrong thing. Feeling super blessed to be 5 months pregnant, at the same time what if I do something that risks it? It’s been 2 hard years of IVF to get here. I feel like a bull in a china shop.  I want to make pregnancy a place where I love my body and what it can do, in all aspects. The goal is to bring a healthy baby into this world, but staying active is an important part of that. ",1458,47,0,1,1,https://www.tiktok.com/@kailsarmbruster/video/7331475899889552670,2/3/2024 12:30
Shes the best nap buddy ever #furbaby #dogmom #goldendoodle #duchessthedoodle ,994,41,0,0,0,https://www.tiktok.com/@kailsarmbruster/video/7326308759481879838,1/20/2024 14:19
Whats your guess? 🚹or 🚺 i wonder what can it be? #pregnancy #prediction #boyorgirl #baby #ivf #ivfsuccess #endometriosis #oldwivestales ,1469,55,7,0,1,https://www.tiktok.com/@kailsarmbruster/video/7325899327065345311,1/19/2024 11:50
"We know something you don’t know🤰🏼. Using special scratch off cards to tell my family we’re expecting.  . My 10yr old niece figured it out first, although nobody else believed her initially, she’s so smart.  My 2 sisters kept trying to read the directions in case they won millions 🤣 . My one sister also being pregnant and due only 4 weeks ahead.  #pregnancyannouncement #family #scratchoffticket ",1175,37,1,0,0,https://www.tiktok.com/@kailsarmbruster/video/7320677416836287774,1/5/2024 10:07
2023 season comes to an end…. Excited for what’s to come in 2024. #happynewyear ,538,9,0,0,0,https://www.tiktok.com/@kailsarmbruster/video/7319313142016838958,1/1/2024 17:53
"Gut health is super important for overall body function, mentality and performace. I trust mine to neurohacker qualia synbiotic. ",1684,15,0,1,1,https://www.tiktok.com/@kailsarmbruster/video/7319290073294310702,1/1/2024 16:23
"Excited for 2nd trimester …. Got my 🍑 handed to me with extreme fatigue and 🤢 the past 13 weeks. Wouldn’t trade it for the world though, it means all good things.  . #pregnant #athlete #ivfjourney #1sttrimester #babyontheway ",832,29,3,0,0,https://www.tiktok.com/@kailsarmbruster/video/7312516185168530734,12/14/2023 10:17
